CandID,sex,educ_momed,educ_parent,educ_momed_n,family_n_sibs,family_n_parents,family_size,income_bin,income_mean,income_inr
716498,Female,college,biological_mother,16,0,2,3,25_35k,30000,1.46
387247,Male,grad,biological_mother,20,1,2,4,50_75k,62500,2.41
223008,Male,grad,biological_mother,20,1,2,4,50_75k,62500,2.41
951984,Male,college,biological_mother,16,2,2,5,50_75k,62500,2.05
662338,Female,some_grad,biological_mother,18,1,2,4,50_75k,62500,2.41
987008,Male,college,biological_mother,16,1,2,4,100_150k,125000,4.82
455675,Male,college,biological_mother,16,0,2,3,100_150k,125000,6.07
534927,Female,grad,biological_mother,20,1,2,4,35_50k,42500,1.64
272097,Female,college,biological_mother,16,1,2,4,100_150k,125000,4.82
890518,Female,grad,biological_mother,20,1,2,4,75_100k,87500,3.37
888211,Male,some_college,biological_mother,14,0,2,3,50_75k,62500,3.04
243511,Female,grad,biological_mother,20,1,2,4,100_150k,125000,4.82
986114,Male,college,biological_mother,16,2,2,5,50_75k,62500,2.05
810675,Male,some_grad,biological_mother,18,0,2,3,75_100k,87500,4.25
334324,Male,some_grad,biological_mother,18,2,2,5,over_200k,250000,8.19
425428,Female,college,biological_mother,16,0,2,3,50_75k,62500,3.04
758451,Male,not_answered,biological_mother,NA,1,2,4,35_50k,42500,1.64
760812,Male,college,biological_mother,16,0,2,3,75_100k,87500,4.25
222881,Female,grad,biological_mother,20,2,2,5,100_150k,125000,4.1
262208,Male,grad,biological_mother,20,1,2,4,100_150k,125000,4.82
794626,Female,not_answered,biological_mother,NA,0,2,3,75_100k,87500,4.25
229768,Female,college,biological_mother,16,0,2,3,100_150k,125000,6.07
138813,Male,college,biological_mother,16,2,2,5,100_150k,125000,4.1
850013,Female,college,biological_mother,16,2,2,5,75_100k,87500,2.87
738379,Male,grad,biological_mother,20,0,2,3,100_150k,125000,6.07
995663,Female,grad,biological_mother,20,0,2,3,150_200k,175000,8.5
505926,Male,grad,biological_mother,20,1,2,4,over_200k,250000,9.64
277762,Male,grad,biological_mother,20,0,2,3,100_150k,125000,6.07
505499,Female,college,biological_mother,16,0,2,3,150_200k,175000,8.5
131015,Male,grad,biological_mother,20,0,2,3,75_100k,87500,4.25
116845,Female,college,biological_mother,16,1,2,4,75_100k,87500,3.37
927564,Female,grad,biological_mother,20,1,2,4,100_150k,125000,4.82
423548,Male,grad,biological_mother,20,0,2,3,150_200k,175000,8.5
447077,Male,grad,biological_mother,20,1,2,4,50_75k,62500,2.41
518969,Female,some_grad,biological_mother,18,1,2,4,25_35k,30000,1.16
320544,Male,grad,biological_mother,20,0,2,3,75_100k,87500,4.25
514306,Male,college,biological_mother,16,1,2,4,50_75k,62500,2.41
932286,Female,some_college,biological_mother,14,0,2,3,100_150k,125000,6.07
761247,Female,some_high,biological_mother,10,0,2,3,0_25k,12500,0.607
125632,Male,college,biological_mother,16,0,2,3,150_200k,175000,8.5
786266,Female,grad,biological_mother,20,1,2,4,150_200k,175000,6.75
794032,Male,college,biological_mother,16,0,2,3,75_100k,87500,4.25
960370,Male,grad,biological_mother,20,0,2,3,100_150k,125000,6.07
859613,Male,college,biological_mother,16,0,2,3,35_50k,42500,2.07
755330,Female,grad,biological_mother,20,1,2,4,75_100k,87500,3.37
801091,Female,college,biological_mother,16,2,2,5,75_100k,87500,2.87
231205,Male,some_grad,biological_mother,18,1,2,4,50_75k,62500,2.41
597306,Female,grad,biological_mother,20,1,2,4,75_100k,87500,3.37
176427,Female,grad,biological_mother,20,1,2,4,75_100k,87500,3.37
557806,Female,grad,biological_mother,20,0,2,3,100_150k,125000,6.07
277066,Female,some_college,biological_mother,14,0,2,3,50_75k,62500,3.04
960432,Female,college,biological_mother,16,1,2,4,100_150k,125000,4.82
805063,Male,college,biological_mother,16,1,2,4,75_100k,87500,3.37
621289,Female,college,biological_mother,16,2,2,5,150_200k,175000,5.74
470431,Female,college,biological_mother,16,2,2,5,100_150k,125000,4.1
812574,Male,some_grad,biological_mother,18,0,2,3,50_75k,62500,3.04
116056,Male,grad,biological_mother,20,0,2,3,75_100k,87500,4.25
683099,Female,college,biological_mother,16,0,2,3,75_100k,87500,4.25
883901,Female,grad,biological_mother,20,1,2,4,150_200k,175000,6.75
838827,Male,some_college,biological_mother,14,0,2,3,75_100k,87500,4.25
406768,Female,grad,biological_mother,20,0,2,3,100_150k,125000,6.07
787525,Male,grad,biological_mother,20,1,2,4,100_150k,125000,4.82
940808,Female,grad,biological_mother,20,1,2,4,over_200k,250000,9.64
939785,Female,grad,biological_mother,20,0,2,3,150_200k,175000,8.5
752770,Male,grad,biological_mother,20,0,2,3,50_75k,62500,3.04
826398,Male,grad,biological_mother,20,0,2,3,100_150k,125000,6.07
544404,Male,some_college,biological_mother,14,1,2,4,100_150k,125000,4.82
879509,Female,grad,biological_mother,20,0,2,3,over_200k,250000,12.1
978698,Female,some_college,biological_mother,14,0,2,3,50_75k,62500,3.04
295081,Female,grad,biological_mother,20,1,2,4,100_150k,125000,4.82
878949,Male,college,biological_mother,16,0,2,3,50_75k,62500,3.04
376673,Female,college,biological_mother,16,2,2,5,35_50k,42500,1.39
704148,Female,grad,biological_mother,20,2,2,5,100_150k,125000,4.1
824479,Female,grad,biological_mother,20,1,2,4,150_200k,175000,6.75
200919,Male,grad,biological_mother,20,0,2,3,over_200k,250000,12.1
469900,Male,grad,biological_mother,20,1,2,4,150_200k,175000,6.75
645257,Female,college,biological_mother,16,1,2,4,25_35k,30000,1.16
816406,Male,some_college,biological_mother,14,1,2,4,25_35k,30000,1.16
401592,Male,grad,biological_mother,20,1,2,4,over_200k,250000,9.64
198202,Male,some_college,biological_mother,14,1,2,4,35_50k,42500,1.64
284149,Female,grad,biological_mother,20,0,2,3,150_200k,175000,8.5
851956,Male,grad,biological_mother,20,1,2,4,50_75k,62500,2.41
147207,Male,grad,biological_mother,20,0,2,3,75_100k,87500,4.25
302746,Male,grad,biological_mother,20,2,2,5,100_150k,125000,4.1
115072,Male,college,biological_mother,16,3,2,6,over_200k,250000,7.32
709477,Female,grad,biological_mother,20,2,2,5,over_200k,250000,8.19
633038,Male,college,biological_mother,16,2,2,5,50_75k,62500,2.05
705639,Male,grad,biological_mother,20,0,2,3,over_200k,250000,12.1
993015,Female,grad,biological_mother,20,1,2,4,75_100k,87500,3.37
981854,Male,grad,biological_mother,20,0,2,3,50_75k,62500,3.04
552990,Female,grad,biological_mother,20,1,2,4,75_100k,87500,3.37
198549,Male,grad,biological_mother,20,1,2,4,100_150k,125000,4.82
726893,Female,grad,biological_mother,20,1,2,4,75_100k,87500,3.37
282791,Male,college,biological_mother,16,1,2,4,50_75k,62500,2.41
381606,Male,some_grad,biological_mother,18,0,2,3,50_75k,62500,3.04
469090,Male,college,biological_mother,16,0,2,3,over_200k,250000,12.1
675362,Male,grad,biological_mother,20,1,2,4,over_200k,250000,9.64
584381,Female,grad,biological_mother,20,0,2,3,150_200k,175000,8.5
266437,Female,grad,biological_mother,20,1,2,4,100_150k,125000,4.82
661045,Male,grad,biological_mother,20,0,2,3,75_100k,87500,4.25
270471,Female,grad,biological_mother,20,0,2,3,100_150k,125000,6.07
761141,Male,college,biological_mother,16,2,2,5,50_75k,62500,2.05
601017,Male,some_grad,biological_mother,18,3,2,6,100_150k,125000,3.66
981664,Male,grad,biological_mother,20,2,2,5,150_200k,175000,5.74
684448,Female,grad,biological_mother,20,1,2,4,100_150k,125000,4.82
234130,Female,grad,biological_mother,20,3,2,6,50_75k,62500,1.83
676274,Male,grad,biological_mother,20,0,2,3,100_150k,125000,6.07
176851,Male,grad,biological_mother,20,0,2,3,100_150k,125000,6.07
590275,Female,college,biological_mother,16,1,2,4,100_150k,125000,4.82
933910,Female,grad,biological_mother,20,1,2,4,over_200k,250000,9.64
519250,Male,college,biological_mother,16,1,2,4,150_200k,175000,6.75
826360,Male,grad,biological_mother,20,0,2,3,50_75k,62500,3.04
908191,Male,some_college,biological_mother,14,1,2,4,50_75k,62500,2.41
583494,Male,grad,biological_mother,20,2,2,5,150_200k,175000,5.74
495082,Female,college,biological_mother,16,0,2,3,150_200k,175000,8.5
107842,Female,some_college,biological_mother,14,2,2,5,75_100k,87500,2.87
904006,Female,grad,biological_mother,20,0,2,3,100_150k,125000,6.07
740317,Male,grad,biological_mother,20,1,2,4,100_150k,125000,4.82
199865,Male,grad,biological_mother,20,1,2,4,75_100k,87500,3.37
522586,Male,grad,biological_mother,20,1,2,4,over_200k,250000,9.64
477045,Male,grad,biological_mother,20,0,2,3,100_150k,125000,6.07
204659,Female,grad,biological_mother,20,0,2,3,50_75k,62500,3.04
439999,Female,college,biological_mother,16,1,2,4,100_150k,125000,4.82
637299,Male,some_college,biological_mother,14,0,2,3,150_200k,175000,8.5
629130,Female,college,biological_mother,16,1,2,4,100_150k,125000,4.82
627391,Female,grad,biological_mother,20,1,2,4,100_150k,125000,4.82
372377,Male,college,biological_mother,16,0,2,3,50_75k,62500,3.04
938316,Female,college,biological_mother,16,0,2,3,100_150k,125000,6.07
439083,Female,some_grad,biological_mother,18,0,2,3,50_75k,62500,3.04
830201,Male,grad,biological_mother,20,0,2,3,100_150k,125000,6.07
798610,Male,college,biological_mother,16,1,2,4,75_100k,87500,3.37
722612,Female,college,biological_mother,16,0,2,3,100_150k,125000,6.07
353374,Female,college,biological_mother,16,2,2,5,50_75k,62500,2.05
469822,Male,college,biological_mother,16,0,2,3,50_75k,62500,3.04
617942,Female,college,biological_mother,16,0,2,3,150_200k,175000,8.5
309615,Male,some_grad,biological_mother,18,0,2,3,100_150k,125000,6.07
317415,Male,college,biological_mother,16,1,2,4,150_200k,175000,6.75
124529,Male,college,biological_mother,16,0,2,3,100_150k,125000,6.07
706655,Female,grad,biological_mother,20,0,2,3,100_150k,125000,6.07
863856,Female,grad,biological_mother,20,0,2,3,100_150k,125000,6.07
380510,Female,grad,biological_mother,20,0,2,3,150_200k,175000,8.5
683462,Male,grad,biological_mother,20,1,2,4,over_200k,250000,9.64
672698,Male,grad,biological_mother,20,1,2,4,50_75k,62500,2.41
710922,Male,grad,biological_mother,20,1,2,4,100_150k,125000,4.82
185373,Male,grad,biological_mother,20,0,2,3,150_200k,175000,8.5
947206,Male,college,biological_mother,16,0,2,3,75_100k,87500,4.25
865762,Male,college,biological_mother,16,2,2,5,over_200k,250000,8.19
706050,Male,grad,biological_mother,20,0,2,3,over_200k,250000,12.1
