category,definition,item_id,type
sounds,baa baa,item_1,word
sounds,choo choo,item_2,word
sounds,cockadoodledoo,item_3,word
sounds,grrr,item_4,word
sounds,meow,item_5,word
sounds,moo,item_6,word
sounds,ouch,item_7,word
sounds,quack quack,item_8,word
sounds,uh oh,item_9,word
sounds,vroom,item_10,word
sounds,woof woof,item_11,word
sounds,yum yum,item_12,word
animals,alligator,item_13,word
animals,animal,item_14,word
animals,ant,item_15,word
animals,bear,item_16,word
animals,bee,item_17,word
animals,bird,item_18,word
animals,bug,item_19,word
animals,bunny,item_20,word
animals,butterfly,item_21,word
animals,cat,item_22,word
animals,chicken (animal),item_23,word
animals,cow,item_24,word
animals,deer,item_25,word
animals,dog,item_26,word
animals,donkey,item_27,word
animals,duck,item_28,word
animals,elephant,item_29,word
animals,fish (animal),item_30,word
animals,frog,item_31,word
animals,giraffe,item_32,word
animals,goose,item_33,word
animals,hen,item_34,word
animals,horse,item_35,word
animals,kitty,item_36,word
animals,lamb,item_37,word
animals,lion,item_38,word
animals,monkey,item_39,word
animals,moose,item_40,word
animals,mouse,item_41,word
animals,owl,item_42,word
animals,penguin,item_43,word
animals,pig,item_44,word
animals,pony,item_45,word
animals,puppy,item_46,word
animals,rooster,item_47,word
animals,sheep,item_48,word
animals,squirrel,item_49,word
animals,teddybear,item_50,word
animals,tiger,item_51,word
animals,turkey,item_52,word
animals,turtle,item_53,word
animals,wolf,item_54,word
animals,zebra,item_55,word
vehicles,airplane,item_56,word
vehicles,bicycle,item_57,word
vehicles,boat,item_58,word
vehicles,bus,item_59,word
vehicles,car,item_60,word
vehicles,firetruck,item_61,word
vehicles,helicopter,item_62,word
vehicles,motorcycle,item_63,word
vehicles,sled,item_64,word
vehicles,stroller,item_65,word
vehicles,tractor,item_66,word
vehicles,train,item_67,word
vehicles,tricycle,item_68,word
vehicles,truck,item_69,word
toys,ball,item_70,word
toys,balloon,item_71,word
toys,bat,item_72,word
toys,block,item_73,word
toys,book,item_74,word
toys,bubbles,item_75,word
toys,chalk,item_76,word
toys,crayon,item_77,word
toys,doll,item_78,word
toys,game,item_79,word
toys,glue,item_80,word
toys,pen,item_81,word
toys,pencil,item_82,word
toys,play dough,item_83,word
toys,present,item_84,word
toys,puzzle,item_85,word
toys,story,item_86,word
toys,toy (object),item_87,word
food_drink,apple,item_88,word
food_drink,applesauce,item_89,word
food_drink,banana,item_90,word
food_drink,beans,item_91,word
food_drink,bread,item_92,word
food_drink,butter,item_93,word
food_drink,cake,item_94,word
food_drink,candy,item_95,word
food_drink,carrots,item_96,word
food_drink,cereal,item_97,word
food_drink,cheerios,item_98,word
food_drink,cheese,item_99,word
food_drink,chicken (food),item_100,word
food_drink,chocolate,item_101,word
food_drink,coffee,item_102,word
food_drink,coke,item_103,word
food_drink,cookie,item_104,word
food_drink,corn,item_105,word
food_drink,cracker,item_106,word
food_drink,donut,item_107,word
food_drink,drink (beverage),item_108,word
food_drink,egg,item_109,word
food_drink,fish (food),item_110,word
food_drink,food,item_111,word
food_drink,french fries,item_112,word
food_drink,grapes,item_113,word
food_drink,green beans,item_114,word
food_drink,gum,item_115,word
food_drink,hamburger,item_116,word
food_drink,ice,item_117,word
food_drink,ice cream,item_118,word
food_drink,jello,item_119,word
food_drink,jelly,item_120,word
food_drink,juice,item_121,word
food_drink,lollipop,item_122,word
food_drink,meat,item_123,word
food_drink,melon,item_124,word
food_drink,milk,item_125,word
food_drink,muffin,item_126,word
food_drink,noodles,item_127,word
food_drink,nuts,item_128,word
food_drink,orange (food),item_129,word
food_drink,pancake,item_130,word
food_drink,peas,item_131,word
food_drink,peanut butter,item_132,word
food_drink,pickle,item_133,word
food_drink,pizza,item_134,word
food_drink,popcorn,item_135,word
food_drink,popsicle,item_136,word
food_drink,potato chip,item_137,word
food_drink,potato,item_138,word
food_drink,pretzel,item_139,word
food_drink,pudding,item_140,word
food_drink,pumpkin,item_141,word
food_drink,raisin,item_142,word
food_drink,salt,item_143,word
food_drink,sandwich,item_144,word
food_drink,sauce,item_145,word
food_drink,soda/pop,item_146,word
food_drink,soup,item_147,word
food_drink,spaghetti,item_148,word
food_drink,strawberry,item_149,word
food_drink,toast,item_150,word
food_drink,tuna,item_151,word
food_drink,vanilla,item_152,word
food_drink,vitamins,item_153,word
food_drink,water (beverage),item_154,word
food_drink,yogurt,item_155,word
clothing,beads,item_156,word
clothing,belt,item_157,word
clothing,bib,item_158,word
clothing,boots,item_159,word
clothing,button,item_160,word
clothing,coat,item_161,word
clothing,diaper,item_162,word
clothing,dress (object),item_163,word
clothing,gloves,item_164,word
clothing,hat,item_165,word
clothing,jacket,item_166,word
clothing,jeans,item_167,word
clothing,mittens,item_168,word
clothing,necklace,item_169,word
clothing,pajamas,item_170,word
clothing,pants,item_171,word
clothing,scarf,item_172,word
clothing,shirt,item_173,word
clothing,shoe,item_174,word
clothing,shorts,item_175,word
clothing,slipper,item_176,word
clothing,sneaker,item_177,word
clothing,snowsuit,item_178,word
clothing,sock,item_179,word
clothing,sweater,item_180,word
clothing,tights,item_181,word
clothing,underpants,item_182,word
clothing,zipper,item_183,word
body_parts,ankle,item_184,word
body_parts,arm,item_185,word
body_parts,belly button,item_186,word
body_parts,buttocks/bottom*,item_187,word
body_parts,cheek,item_188,word
body_parts,chin,item_189,word
body_parts,ear,item_190,word
body_parts,eye,item_191,word
body_parts,face,item_192,word
body_parts,finger,item_193,word
body_parts,foot,item_194,word
body_parts,hair,item_195,word
body_parts,hand,item_196,word
body_parts,head,item_197,word
body_parts,knee,item_198,word
body_parts,leg,item_199,word
body_parts,lips,item_200,word
body_parts,mouth,item_201,word
body_parts,nose,item_202,word
body_parts,owie/boo boo,item_203,word
body_parts,penis*,item_204,word
body_parts,shoulder,item_205,word
body_parts,toe,item_206,word
body_parts,tongue,item_207,word
body_parts,tooth,item_208,word
body_parts,tummy,item_209,word
body_parts,vagina*,item_210,word
household,basket,item_211,word
household,blanket,item_212,word
household,bottle,item_213,word
household,bowl,item_214,word
household,box,item_215,word
household,broom,item_216,word
household,brush,item_217,word
household,bucket,item_218,word
household,camera,item_219,word
household,can (object),item_220,word
household,clock,item_221,word
household,comb,item_222,word
household,cup,item_223,word
household,dish,item_224,word
household,fork,item_225,word
household,garbage,item_226,word
household,glass,item_227,word
household,glasses,item_228,word
household,hammer,item_229,word
household,jar,item_230,word
household,keys,item_231,word
household,knife,item_232,word
household,lamp,item_233,word
household,light,item_234,word
household,medicine,item_235,word
household,money,item_236,word
household,mop,item_237,word
household,nail,item_238,word
household,napkin,item_239,word
household,paper,item_240,word
household,penny,item_241,word
